track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0jY618wuln0b5b8sCxFgjk,"Jung Kook, BTS, FIFA Sound",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],70,201391,False,0.709,0.879,0,-4.218,1,0.042,0.158,0.00158,0.441,0.34,114.99,4,K-pop
0bMoNdAnxNR0OuQbGDovrr,LE SSERAFIM,UNFORGIVEN,ANTIFRAGILE,73,184444,False,0.879,0.784,10,-3.944,0,0.081,0.0759,0.0,0.125,0.83,105.019,4,K-pop
01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D : The Remixes,3D (feat. Jack Harlow),79,201812,True,0.853,0.824,1,-3.287,1,0.103,0.0322,0.0,0.0859,0.888,108.044,4,K-pop
59hBR0BCtJsfIbV9VzCVAp,Jimin,Set Me Free Pt.2,Set Me Free Pt.2,68,200929,True,0.585,0.815,0,-4.165,0,0.0565,0.115,0.0,0.124,0.564,132.09,4,K-pop
2N0SPREDYqILVEFSsWF5N5,V,Layover,Love Me Again,86,182293,False,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,4,K-pop
0u8rZGtXJrLtiSe34FPjGG,Jimin,FACE,Like Crazy (English Version),63,212253,False,0.623,0.755,7,-5.386,1,0.0415,0.00306,0.0,0.387,0.32,119.957,4,K-pop
5IAESfJjmOYu7cHyX557kz,BTS,Take Two,Take Two,68,229953,False,0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,4,K-pop
5QDLhrAOJJdNAmCTJ8xMyW,BTS,BE,Dynamite,78,199053,False,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4,K-pop
4uOBL4DDWWVx4RhYKlPbPC,(G)I-DLE,I feel,Queencard,73,161240,False,0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,4,K-pop
1mh9eHVRdNhzryG43PXdW1,Leon Thomas,MUTT,MUTT,65,193333,True,0.635,0.462,1,-8.092,1,0.12,0.174,2.26e-05,0.0697,0.601,179.949,4,R&B/Soul
12VH4g5pTMZmrUVzfJq7F7,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),M a k e I t T o T h e M o r n i n g,77,168453,True,0.677,0.622,4,-5.901,0,0.0287,0.0831,0.00749,0.154,0.0903,122.738,4,R&B/Soul
306ediRjbmuizOLWtjDG3Z,"Pink Sweat$, Kehlani",PINK PLANET,At My Worst (feat. Kehlani),57,169127,False,0.731,0.484,0,-5.579,1,0.0354,0.73,3.01e-06,0.326,0.35,92.043,4,R&B/Soul
6SSSGEgfuqTP75xaNOwsTo,Coco Jones,Here We Go (Uh Oh),Here We Go (Uh Oh),64,216507,False,0.401,0.749,3,-2.341,0,0.17,0.322,0.000161,0.117,0.474,177.165,3,R&B/Soul
3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,TAKE TIME,Heartbreak Anniversary,79,198370,False,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3,R&B/Soul
64fITmtln0OJqcxPf09vnY,Lucky Daye,HERicane,HERicane,51,227368,False,0.739,0.686,7,-6.317,0,0.0479,0.244,0.00145,0.0963,0.743,95.0,4,R&B/Soul
2Ch7LmS7r2Gy2kc64wv3Bz,The Weeknd,Starboy,Die For You,78,260252,False,0.586,0.525,1,-7.163,0,0.0616,0.111,0.0,0.134,0.507,133.63,4,R&B/Soul
4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,SOS,Snooze,86,201800,True,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,4,R&B/Soul
